fractal,iteration,d_est,abs_error,rel_error,std_err,rmse,max_residual,r2,stability_s
koch,1,1.004900203629375,0.2569593035135398,0.2036354301401933,0.0013425324472001,0.00227942799106313,0.004309042535641794,0.9999946454541411,0.014212963142181742
koch,2,1.0126527515192707,0.24920675562364414,0.19749168129492853,0.003681893207292579,0.006251327820247773,0.011263834579505527,0.9999603425018544,0.04316791552310975
koch,3,1.0116936105376186,0.2501658966052962,0.19825178253934023,0.003496491568150032,0.005936542366315785,0.009335452475662365,0.9999641678680303,0.07554538693652686
koch,4,1.0574754694903514,0.2043840376525634,0.16197051771264692,0.018943534031368975,0.03216341013643221,0.04480465330021843,0.9990382000484922,0.06525652584991844
koch,5,1.144632758835929,0.11722674830698576,0.09290000007402487,0.036523229127415506,0.0620112169137304,0.08553156497135461,0.996954891602958,0.04682068361390858
koch,6,1.2462930572643542,0.015566449878560595,0.01233611966343697,0.032076721225088575,0.054461682750745234,0.06570426763220105,0.9980166533316274,0.03257341702882028
sierpinski,1,1.976795256268237,0.39183275554708064,0.24721894389854468,0.004302538683164484,0.007305095029476314,0.01046114409292187,0.999985788455818,0.14304538308423273
sierpinski,2,1.9541062357356678,0.3691437350145115,0.2329037657651531,0.008537432240916767,0.014495338315521255,0.01849427208928134,0.9999427395727006,0.15568469016044173
sierpinski,3,1.9122284410049808,0.3272659402838245,0.20648181905560467,0.01619369237725579,0.02749457248529789,0.03509882234937667,0.9997849001778009,0.14488008923506826
sierpinski,4,1.8415187888117557,0.2565562880905994,0.1618689956222097,0.02769019418779221,0.047013987513869135,0.059071283162988486,0.9993221611329778,0.11649514824420436
sierpinski,5,1.7493388024830603,0.164376301761904,0.1037098995636256,0.03420220670828674,0.058070452963408986,0.07375318060052116,0.9988545295395129,0.07341252908206988
sierpinski,6,1.6686234128626631,0.08366091214150684,0.05278415868100426,0.02530630718421768,0.042966488494523,0.05704597695392266,0.9993104550679809,0.020489659920736748
