epsilon,log_epsilon,N_base,N_dense,delta_percent,iteration
0.5,0.6931471805599453,3.0,3.0,0.0,1
0.25,1.3862943611198906,6.0,7.0,14.285714285714285,1
0.125,2.0794415416798357,13.0,13.0,0.0,1
0.0625,2.772588722239781,25.0,25.0,0.0,1
0.03125,3.4657359027997265,49.0,49.0,0.0,1
0.015625,4.1588830833596715,95.0,97.0,2.0618556701030926,1
0.0078125,4.852030263919617,191.0,195.0,2.051282051282051,1
0.00390625,5.545177444479562,385.0,395.0,2.5316455696202533,1
0.001953125,6.238324625039508,769.0,787.0,2.2871664548919948,1
0.0009765625,6.931471805599453,1541.0,1577.0,2.28281547241598,1
0.5,0.6931471805599453,3.0,3.0,0.0,2
0.25,1.3862943611198906,6.0,7.0,14.285714285714285,2
0.125,2.0794415416798357,15.0,15.0,0.0,2
0.0625,2.772588722239781,28.0,29.0,3.4482758620689653,2
0.03125,3.4657359027997265,67.0,67.0,0.0,2
0.015625,4.1588830833596715,127.0,131.0,3.0534351145038165,2
0.0078125,4.852030263919617,261.0,263.0,0.7604562737642585,2
0.00390625,5.545177444479562,519.0,535.0,2.990654205607477,2
0.001953125,6.238324625039508,1052.0,1086.0,3.1307550644567224,2
0.0009765625,6.931471805599453,2115.0,2175.0,2.7586206896551726,2
0.5,0.6931471805599453,3.0,3.0,0.0,3
0.25,1.3862943611198906,7.0,7.0,0.0,3
0.125,2.0794415416798357,15.0,15.0,0.0,3
0.0625,2.772588722239781,33.0,33.0,0.0,3
0.03125,3.4657359027997265,87.0,89.0,2.247191011235955,3
0.015625,4.1588830833596715,171.0,171.0,0.0,3
0.0078125,4.852030263919617,349.0,355.0,1.6901408450704223,3
0.00390625,5.545177444479562,691.0,721.0,4.160887656033287,3
0.001953125,6.238324625039508,1407.0,1453.0,3.1658637302133514,3
0.0009765625,6.931471805599453,2838.0,2919.0,2.774922918807811,3
0.5,0.6931471805599453,3.0,3.0,0.0,4
0.25,1.3862943611198906,7.0,7.0,0.0,4
0.125,2.0794415416798357,15.0,15.0,0.0,4
0.0625,2.772588722239781,33.0,33.0,0.0,4
0.03125,3.4657359027997265,89.0,89.0,0.0,4
0.015625,4.1588830833596715,196.0,197.0,0.5076142131979695,4
0.0078125,4.852030263919617,445.0,453.0,1.7660044150110374,4
0.00390625,5.545177444479562,907.0,927.0,2.157497303128371,4
0.001953125,6.238324625039508,1867.0,1903.0,1.8917498686284815,4
0.0009765625,6.931471805599453,3737.0,3863.0,3.2617136940201914,4
0.5,0.6931471805599453,3.0,3.0,0.0,5
0.25,1.3862943611198906,7.0,7.0,0.0,5
0.125,2.0794415416798357,15.0,15.0,0.0,5
0.0625,2.772588722239781,33.0,33.0,0.0,5
0.03125,3.4657359027997265,91.0,91.0,0.0,5
0.015625,4.1588830833596715,201.0,201.0,0.0,5
0.0078125,4.852030263919617,523.0,527.0,0.7590132827324478,5
0.00390625,5.545177444479562,1117.0,1133.0,1.412180052956752,5
0.001953125,6.238324625039508,2425.0,2459.0,1.3826758845058966,5
0.0009765625,6.931471805599453,4931.0,5073.0,2.79913266311847,5
0.5,0.6931471805599453,3.0,3.0,0.0,6
0.25,1.3862943611198906,7.0,7.0,0.0,6
0.125,2.0794415416798357,15.0,15.0,0.0,6
0.0625,2.772588722239781,33.0,33.0,0.0,6
0.03125,3.4657359027997265,91.0,91.0,0.0,6
0.015625,4.1588830833596715,201.0,201.0,0.0,6
0.0078125,4.852030263919617,535.0,535.0,0.0,6
0.00390625,5.545177444479562,1221.0,1229.0,0.6509357200976403,6
0.001953125,6.238324625039508,3033.0,3065.0,1.0440456769983686,6
0.0009765625,6.931471805599453,6343.0,6498.0,2.385349338257926,6
