fractal,iteration,log_epsilon_mid,local_dimension
koch,1,-6.58489821531948,1.0028113585529577
koch,1,-5.891751034759535,0.9981251523795627
koch,1,-5.19860385419959,1.0112858075465154
koch,1,-4.505456673639644,1.0075732197048008
koch,1,-3.812309493079699,0.9551457642157403
koch,1,-3.119162312519754,0.9708536543404834
koch,1,-2.4260151319598084,0.9434164716336322
koch,1,-1.732867951399863,1.1154772174199363
koch,1,-1.0397207708399179,0.9999999999999999
koch,2,-6.58489821531948,1.0075229587150087
koch,2,-5.891751034759535,1.0193282609344223
koch,2,-5.19860385419959,0.9916847317879954
koch,2,-4.505456673639644,1.039221309797719
koch,2,-3.812309493079699,0.9225954963143943
koch,2,-3.119162312519754,1.2587342684001679
koch,2,-2.4260151319598084,0.9004643264490853
koch,2,-1.732867951399863,1.3219280948873626
koch,2,-1.0397207708399179,0.9999999999999999
koch,3,-6.58489821531948,1.0122522608240183
koch,3,-5.891751034759535,1.0258647128482739
koch,3,-5.19860385419959,0.9854586741786069
koch,3,-4.505456673639644,1.0292307113237533
koch,3,-3.812309493079699,0.9749090190371706
koch,3,-3.119162312519754,1.3985493764902748
koch,3,-2.4260151319598084,1.1375035237499347
koch,3,-1.732867951399863,1.0995356735509147
koch,3,-1.0397207708399179,1.2223924213364477
koch,4,-6.58489821531948,1.0011586361545435
koch,4,-5.891751034759535,1.0415474716976798
koch,4,-5.19860385419959,1.0272972146747616
koch,4,-4.505456673639644,1.1829516817385521
koch,4,-3.812309493079699,1.1389764131488107
koch,4,-3.119162312519754,1.4313393116079438
koch,4,-2.4260151319598084,1.1375035237499347
koch,4,-1.732867951399863,1.0995356735509147
koch,4,-1.0397207708399179,1.2223924213364477
koch,5,-6.58489821531948,1.0238955055392664
koch,5,-5.891751034759535,1.1183555614785374
koch,5,-5.19860385419959,1.0947463342363732
koch,5,-4.505456673639644,1.3796154450680131
koch,5,-3.812309493079699,1.1432570509802333
koch,5,-3.119162312519754,1.4634005208402423
koch,5,-2.4260151319598084,1.1375035237499347
koch,5,-1.732867951399863,1.0995356735509147
koch,5,-1.0397207708399179,1.2223924213364477
koch,6,-6.58489821531948,1.0644198442086974
koch,6,-5.891751034759535,1.3126822976367682
koch,6,-5.19860385419959,1.190452403698894
koch,6,-4.505456673639644,1.41234339010958
koch,6,-3.812309493079699,1.1432570509802333
koch,6,-3.119162312519754,1.4634005208402423
koch,6,-2.4260151319598084,1.1375035237499347
koch,6,-1.732867951399863,1.0995356735509147
koch,6,-1.0397207708399179,1.2223924213364477
