epsilon,log_epsilon,counts,log_counts
0.5,-0.6931471805599453,3,1.0986122886681098
0.25,-1.3862943611198906,7,1.9459101490553132
0.125,-2.0794415416798357,15,2.70805020110221
0.0625,-2.772588722239781,33,3.4965075614664802
0.03125,-3.4657359027997265,89,4.48863636973214
0.015625,-4.1588830833596715,174,5.159055299214529
0.0078125,-4.852030263919617,360,5.886104031450156
0.00390625,-5.545177444479562,736,6.601230118728877
0.001953125,-6.238324625039508,1490,7.306531398939505
0.0009765625,-6.931471805599453,2989,8.002694162283937
