eps,ln eps,N(eps),ln N
0.5,-0.6931471805599453,5,1.6094379124341005
0.25,-1.3862943611198906,13,2.5649493574615367
0.125,-2.0794415416798357,37,3.610917912644224
0.0625,-2.772588722239781,112,4.718498871295094
0.03125,-3.4657359027997265,342,5.834810737062605
0.015625,-4.1588830833596715,1032,6.939253946041508
0.0078125,-4.852030263919617,2985,8.001355025826703
0.00390625,-5.545177444479562,8719,9.073259831427816
0.001953125,-6.238324625039508,27709,10.22951254915098
0.0009765625,-6.931471805599453,95769,11.46969432077795
