window,mean_D_est,std_D_est,MAE,MRE,mean_std_err
coarse,1.5266816319639294,0.021549282435068092,0.05828086875722671,0.03677113416292751,0.03177140489962743
fine,1.8339529308613491,0.1357694802110542,0.24899043014019295,0.15709547073000313,0.022538485653407634
full,1.681742786221906,0.0876987030259545,0.09856414541248733,0.06218705197608194,0.028902499123651584
slide_1_to_5,1.5266816319639294,0.021549282435068092,0.05828086875722671,0.03677113416292751,0.03177140489962743
slide_2_to_6,1.601192045487352,0.05233706424782401,0.03302545209552484,0.02083674035221546,0.023718286941215954
slide_3_to_7,1.6597503731973309,0.09700380373872781,0.0755073143316614,0.04763981122411771,0.0230348130213012
slide_4_to_8,1.7084908791899105,0.13672598693299212,0.1295513230847467,0.08173778434871551,0.02465473470423135
slide_5_to_9,1.769901929688352,0.15134574984050775,0.18795530490604906,0.11858659420682167,0.02358669519998048
slide_6_to_10,1.8339529308613491,0.1357694802110542,0.24899043014019295,0.15709547073000313,0.022538485653407634
